央视（广西移动0-999）,#genre#
CCTV-1 综合,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225891/index.m3u8
CCTV-1 综合,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225891/index.m3u8
CCTV-1 综合,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225894/index.m3u8
CCTV-1 综合,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225872/index.m3u8
CCTV-1 综合,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225885/index.m3u8
CCTV-1 综合,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225888/index.m3u8
CCTV-2 财经,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225657/index.m3u8
CCTV-2 财经,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225948/index.m3u8
CCTV-3 综艺,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225713/index.m3u8
CCTV-3 综艺,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225916/index.m3u8
CCTV-4 中文国际,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225761/index.m3u8
CCTV-4 中文国际,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225922/index.m3u8
CCTV-5 体育,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225660/index.m3u8
CCTV-5 体育,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225837/index.m3u8
CCTV-5 体育,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225925/index.m3u8
CCTV-5 体育,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225801/index.m3u8
CCTV-5+ 体育赛事,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225712/index.m3u8
CCTV-5+ 体育赛事,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225998/index.m3u8
CCTV-6 电影,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225715/index.m3u8
CCTV-6 电影,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225936/index.m3u8
CCTV-7 国际军事,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225700/index.m3u8
CCTV-7 国防军事,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225892/index.m3u8
CCTV-8 电视剧,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225716/index.m3u8
CCTV-9 记录,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225663/index.m3u8
CCTV-9 记录,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225939/index.m3u8
CCTV-10 科教,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225704/index.m3u8
CCTV-11 戏曲,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225739/index.m3u8
CCTV-12 社会与法,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225645/index.m3u8
CCTV-13 新闻,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225742/index.m3u8
